,Dimensione,Peso,Dolcezza,Croccantezza,Succosità,Maturazione,Acidità,Qualità
0,5.8089854431,148.7438318095,17.6731648065,3.7975982576,8.46122509025,8.08245994925,3.4016819034,buona
1,6.6414348427,148.580371736,16.832029379,4.3176464618,8.21332144875,8.2168825205,3.3554381266,buona
2,6.9123928414,149.3243590025,14.130785419,3.9314768144,8.709658878,7.990491668,4.0243272946,non buona
3,6.8028412681,148.8641866955,15.6624369235,3.9804250568,8.90949262275,7.1465596655,3.6581446434,buona
4,7.409265046,149.3516940615,14.807670897,3.889398846,8.7577185885,7.67403764275,3.6003968072,buona
5,5.9723800735,149.295458898,14.0432444025,3.8888450272,7.0367321325,8.478653979,2.9036953662,non buona
6,7.3994817208,150.8179778575,15.437987122,3.664440412,8.77658611375,7.53814581675,3.9828341018,buona
7,6.4013613712,149.78552076,15.7653217915,3.8514056648,8.03970850075,8.2436094645,3.2059749868,buona
8,5.8397103301,148.132743212,15.4932145335,3.75846909,8.57321822975,9.02023019675,2.5256190484,non buona
9,6.7816051873,149.7785898235,12.9538885865,4.1195025834,8.09842856525,8.405214193,3.9371215446,non buona
10,6.190199113,149.335246506,14.2907465735,3.8748908464,8.59276859275,8.85079113075,2.9378383662,non buona
11,7.7352879535,149.7179112965,14.1824796365,4.1884799738,7.4781708325,8.30358042275,3.7588647854,buona
12,6.9487564843,149.066364429,14.114077636,4.4826310634,7.2263613155,7.84377890625,3.0847772006,non buona
13,6.5963408392,149.1881494395,16.022071877,4.3509625864,8.24939177325,8.10854496375,3.8448052168,buona
14,7.8518742811,149.827600904,14.4901013545,4.1789161714,7.67498477925,8.145594655,3.8419416418,buona
15,6.2020337845,148.602157896,17.1152017935,4.139510079,8.54522777525,7.977806151,3.2832758424,buona
16,6.5593145359,149.024820206,13.8928135555,4.1819517018,8.7161122135,8.99148891375,3.3883582634,non buona
17,6.9776889469,147.6426250235,15.1248838205,4.587063813,8.352438775,7.3390474485,3.7501940694,buona
18,6.9092907199,150.8621979235,13.7788313885,4.6930216958,8.11244791875,7.981409387,3.998756397,non buona
19,6.3675850303,150.1782337015,14.4219033605,4.8653445034,8.390385779,6.842456434,3.224668558,buona
20,6.2996231485,148.5281455485,13.273686138,4.152478346,9.01911559225,9.58661133825,3.6453551344,non buona
21,7.3532778346,149.6391727535,14.3064418925,5.5239703602,8.2673220955,7.0662986465,4.0285896482,buona
22,6.2728161334,149.6507496735,15.0730152035,4.1260212338,8.747640127,8.1948682245,4.1368376374,non buona
23,7.0407142597,149.6231215715,13.901926772,4.2078552176,8.14513438825,8.05682719425,3.9173237082,non buona
24,7.1568882277,149.285957378,14.6282406285,4.3573432388,6.9481141135,7.543692196,3.2139140286,non buona
25,6.6101594821,148.247603994,14.435298998,4.1111810766,7.298112459249999,8.428657527,2.7306716354,non buona
26,6.9097905157,149.7431983745,15.460503121,4.275634415,8.56868667175,8.18633409375,2.913194222,buona
27,7.5999492892,150.334994899,13.9501920045,4.5291637942000005,7.752626027,8.093332532,3.0204616408,non buona
28,7.433815615,150.8283459115,14.111239625,4.3417924418,7.9145824195,7.6693901265,3.2683743866,non buona
29,6.8212523569,150.767339955,14.115340513,4.132900367,7.89178138725,8.20010967175,3.829190872,non buona
30,7.123147645,148.8698549705,13.3320259905,3.9429589612,7.316538934,8.6464964265,2.8926160578,non buona
31,6.2317385359,149.951794152,16.2068870525,4.2636587332,8.81792203325,7.550703861,2.972631037,buona
32,7.5044987854,148.5091630975,14.9600974545,3.8104267226,8.758703139,7.8228471915,3.7333941474,buona
33,6.8233611895,149.4390064265,16.1621475445,4.062386142,9.287184854,7.16200289875,4.6120217386,non buona
34,6.9896896183,149.333597452,16.1645506355,4.5725517794,8.20630982775,8.26566802275,3.960066105,buona
35,6.7133792971,148.7694516125,12.9564219155,4.1678215234,8.250804047,9.2439099925,3.303722466,non buona
36,6.0816504181,150.4185518185,14.461680886,4.3049476026,8.4410350645,7.9858818225,3.2009774768,buona
37,8.1844341127,149.1829084585,12.613109941,4.38632626,8.19763492275,8.39577429925,3.0043888136,buona
38,6.4609844473,148.2653863535,16.8427183795,3.9671718754,8.330074615000001,8.37002738225,3.0414071134,buona
39,7.3860213727,148.7852377365,15.478066551,4.2955084482,9.196593919,7.154410649,4.003869385,buona
40,7.3589635075,149.2759478545,14.539241621,4.4010982572,8.1011853705,7.824805288,3.7142259416,non buona
41,6.8937428974,148.987978733,15.683492445,4.6467232338,8.24816712975,8.38140213625,4.0481849522,buona
42,6.538418002,148.6260778065,15.9224750285,4.0982498138,7.89354611975,8.314942045,3.1638151816,non buona
43,7.2423562312,150.3763535055,15.089613173,4.290316437,7.59703520775,7.305931260499999,3.5369811214,non buona
44,8.1791084176,151.377203246,13.6660252315,4.2856496346,8.023190308,8.2739484145,4.0254548316,buona
45,7.010041285,149.9779195185,14.759398766,4.987441901,7.84753177575,7.19212399325,3.7497583582,buona
46,6.8537899918,149.6155973375,14.6103842425,4.4050513238,8.369481746,8.06694701825,2.6090859654000003,buona
47,6.5836029457,151.3692553805,13.825391574,4.1906876978,8.4651789295,8.5793274765,4.119563675,non buona
48,6.0014285506,150.326288468,14.2877985215,4.1454770758,8.39423033675,8.64445088,3.6301355736,non buona
49,6.6678819544,151.1305991145,13.682401489,4.1764529566,7.99400116,8.55452484225,4.0730096742,non buona
50,6.1184149555000005,150.2622274585,15.4011287205,3.7048138238,7.91591276525,8.3576620175,3.0402248954,buona
51,6.8766076951,149.1207023575,13.893067612,3.9700929484,8.394046074,8.23229935225,3.7833966182,non buona
52,7.4031289972,148.742791431,13.269230529,4.7682308384,8.07012878475,7.99364079725,3.671245782,buona
53,7.3616350888,149.108245763,15.3263415305,4.488596687,8.336728645,8.27876553925,3.2602686044,buona
54,7.9031032834,148.2884856855,13.444511018,3.6913910986,8.891902047,8.42405814975,3.5891680808,buona
55,7.6098391252,149.6794893175,13.795155042,4.5872256578,8.418871138,7.773852866,3.9574700692,buona
56,7.5467971954,149.7271913515,14.8160895825,4.0505966576,7.80272314775,8.53397794475,2.8312088398,buona
57,7.3295460463,149.489812912,15.6055655915,4.2520355348,7.74252432375,8.655684497,4.0325095658,buona
58,6.8560350922,149.960402298,14.578226479,4.6099135214,8.91595952975,7.908575336,3.2052924938,buona
59,7.2499293196,150.224856816,14.180725566,3.873732394,8.70772659325,7.83278490575,3.7098857598,buona
60,5.9607533983,150.676055574,15.229012861,4.1785493486,8.782454614,7.5638313675,3.059077855,buona
61,5.597757724,150.398522941,14.5513936655,3.7212033658,8.12303244925,8.80042694725,3.382742658,non buona
62,5.997552085600001,149.322221728,15.716823342,4.3444713354,8.02822795175,8.172197105,3.823836739,non buona
63,7.1365937821,148.808552277,14.581285175,3.526764972,7.9308849695,8.21308381225,3.4937747894,buona
64,6.3291435637,149.4127194685,15.741351739,3.9445677888,8.374399607,8.26893284625,3.3126058828,buona
65,5.9296306087,150.521871089,16.2816997905,4.0874553422,8.41962955625,6.6715404445,3.9143967216,buona
66,6.3433201615,151.065877129,15.1304206455,4.7772096748,7.20093422125,7.10985153075,3.5179025882,buona
67,6.5290708342,150.5299324825,15.759440048,4.3332192552,8.767232838249999,7.62991222,4.0538917216,non buona
68,6.6612817309,149.8710819145,14.028880544,3.9958130676,7.81896527125,8.66552775475,3.4775054226,non buona
69,6.8801174128,148.400912713,14.374680369,4.5818555364,7.4214907255,7.9422219865,2.894121527,non buona
70,7.1830397308,148.2695906665,15.668379653,4.0774903008,7.96580469275,8.74716138775,3.0910462106,non buona
71,7.7063206867,148.669864873,16.3077079525,3.3417579504,9.151113529,7.68997064475,4.2379161714,buona
72,7.1688553681,149.086005427,12.6888781605,3.934852906,8.64470122875,8.620385344,3.7305537098,non buona
73,7.0118241064,149.431284878,15.2388661645,4.3312961142,7.1859419935,7.87410394475,3.6057397596,non buona
